epoch,train_mean_loss,val_mean_loss,val_accuracy
1,4.988779194,4.726548061,0.04878
2,4.46158976,4.46266669,0.0816
3,4.071726027,4.074233397,0.12262
4,3.755010811,3.912342403,0.1491
5,3.482205038,3.646696963,0.18902
6,3.262297594,3.42696054,0.22586
7,3.054629685,3.256186616,0.25664
8,2.878563909,3.19981353,0.26888
9,2.724337373,3.05595699,0.29852
10,2.570482448,2.979346053,0.31532
11,2.433511078,2.836501826,0.33904
12,2.3019311,2.877442194,0.34048
13,2.1792604,2.749527849,0.36082
14,2.052104158,2.693008205,0.3736
15,1.932759986,2.68949582,0.3802
16,1.821749823,2.678453627,0.38748
17,1.703368787,2.638207483,0.39868
18,1.593031692,2.672234499,0.39408
19,1.473468446,2.650137535,0.4065
20,1.356627849,2.649118061,0.41328
21,1.253756925,2.711650514,0.41262
22,1.138287072,2.704977625,0.41506
23,1.0290223,2.770080377,0.41686
24,0.9304637104,2.78516923,0.41562
25,0.8222542324,2.849143709,0.42172
26,0.4303878747,2.384263957,0.48564
27,0.3014696789,2.371464372,0.48876
28,0.2568470465,2.386789871,0.48884
29,0.2256399444,2.391615955,0.49026
30,0.2036331897,2.403132882,0.49098
31,0.1847315684,2.414070615,0.48988
32,0.1686549946,2.426664638,0.49062
33,0.1562156944,2.442357923,0.48936
34,0.14366768,2.450976684,0.48986
35,0.133472192,2.468146308,0.48792
36,0.1241932269,2.476135138,0.49002
37,0.1156972096,2.482185085,0.48958
38,0.1078369522,2.501818026,0.4876
39,0.1018509998,2.499962426,0.4891
40,0.09595628518,2.508036296,0.4891
41,0.08692419125,2.505879063,0.48954
42,0.08504592405,2.508800928,0.48894
43,0.08419167203,2.512886131,0.48872
44,0.08299117725,2.508712266,0.48876
45,0.08309278281,2.506907548,0.48804
46,0.08199266445,2.512793401,0.48822
47,0.08126998134,2.520480429,0.48972
48,0.08067267009,2.512303633,0.48932
49,0.08068692013,2.524180557,0.48754
50,0.0803901868,2.518803422,0.49216
51,0.07926730993,2.520034177,0.49018
52,0.07849948848,2.51615068,0.48924
53,0.07893033758,2.513747079,0.49066
54,0.07755015362,2.517768337,0.48982
55,0.07733670475,2.525738725,0.4895
