method,mode,dataset,seed,keep_ratio,selected_total,corrupted_selected,overall_corruption_ratio_pct,gaussian_noise_selected_count,gaussian_noise_subset_share_pct,gaussian_noise_retention_rate_pct,gaussian_noise_removal_rate_pct,gaussian_noise_composition_among_corrupted_pct,partial_occlusion_selected_count,partial_occlusion_subset_share_pct,partial_occlusion_retention_rate_pct,partial_occlusion_removal_rate_pct,partial_occlusion_composition_among_corrupted_pct,resolution_degradation_selected_count,resolution_degradation_subset_share_pct,resolution_degradation_retention_rate_pct,resolution_degradation_removal_rate_pct,resolution_degradation_composition_among_corrupted_pct,fog_selected_count,fog_subset_share_pct,fog_retention_rate_pct,fog_removal_rate_pct,fog_composition_among_corrupted_pct,motion_blur_selected_count,motion_blur_subset_share_pct,motion_blur_retention_rate_pct,motion_blur_removal_rate_pct,motion_blur_composition_among_corrupted_pct
Ours,corruption_learned_group,tiny-imagenet,22,30,30000,329,1.0966666666666667,62,0.20666666666666667,1.55,98.45,18.84498480243161,106,0.35333333333333333,2.65,97.35,32.21884498480243,46,0.15333333333333335,1.15,98.85,13.98176291793313,63,0.21,1.575,98.425,19.148936170212767,52,0.17333333333333334,1.3,98.7,15.80547112462006
Ours,corruption_learned_group,tiny-imagenet,22,50,50000,1401,2.802,323,0.6459999999999999,8.075000000000001,91.925,23.05496074232691,383,0.766,9.575,90.425,27.337615988579582,236,0.47200000000000003,5.8999999999999995,94.1,16.84511063526053,227,0.45399999999999996,5.675,94.325,16.202712348322628,232,0.464,5.800000000000001,94.2,16.55960028551035
Ours,corruption_learned_group,tiny-imagenet,22,70,70000,5478,7.825714285714286,1412,2.0171428571428573,35.3,64.7,25.775830595107703,1262,1.802857142857143,31.55,68.45,23.037604965315808,972,1.3885714285714286,24.3,75.7,17.74370208105148,870,1.2428571428571429,21.75,78.25,15.88170865279299,962,1.3742857142857143,24.05,75.95,17.561153705732018
Ours,corruption_learned_group,tiny-imagenet,42,30,30000,300,1.0,61,0.2033333333333333,1.525,98.475,20.333333333333332,80,0.26666666666666666,2.0,98.0,26.666666666666668,48,0.16,1.2,98.8,16.0,59,0.19666666666666666,1.4749999999999999,98.525,19.666666666666664,52,0.17333333333333334,1.3,98.7,17.333333333333336
Ours,corruption_learned_group,tiny-imagenet,42,50,50000,1322,2.644,257,0.514,6.425,93.575,19.440242057488653,400,0.8,10.0,90.0,30.257186081694403,221,0.44200000000000006,5.525,94.475,16.717095310136155,229,0.45799999999999996,5.7250000000000005,94.275,17.322239031770046,215,0.43,5.375,94.625,16.263237518910742
Ours,corruption_learned_group,tiny-imagenet,42,70,70000,5547,7.924285714285714,1228,1.7542857142857142,30.7,69.3,22.138092662700558,1369,1.9557142857142855,34.225,65.775,24.6800072111051,1017,1.4528571428571428,25.424999999999997,74.575,18.334234721471066,1017,1.4528571428571428,25.424999999999997,74.575,18.334234721471066,916,1.3085714285714285,22.900000000000002,77.1,16.51343068325221
Ours,corruption_learned_group,tiny-imagenet,96,30,30000,407,1.3566666666666667,62,0.20666666666666667,1.55,98.45,15.233415233415235,123,0.41000000000000003,3.075,96.925,30.22113022113022,66,0.22,1.6500000000000001,98.35,16.216216216216218,75,0.25,1.875,98.125,18.42751842751843,81,0.27,2.025,97.975,19.901719901719904
Ours,corruption_learned_group,tiny-imagenet,96,50,50000,1581,3.1620000000000004,272,0.544,6.800000000000001,93.2,17.20430107526882,460,0.9199999999999999,11.5,88.5,29.095509171410498,293,0.586,7.324999999999999,92.675,18.532574320050603,259,0.518,6.4750000000000005,93.525,16.382036685642,297,0.594,7.425,92.575,18.785578747628083
Ours,corruption_learned_group,tiny-imagenet,96,70,70000,6067,8.667142857142856,1173,1.6757142857142855,29.325000000000003,70.675,19.33410252183946,1505,2.15,37.625,62.375,24.806329322564693,1201,1.7157142857142857,30.025000000000002,69.975,19.79561562551508,1106,1.58,27.650000000000002,72.35,18.229767595187077,1082,1.5457142857142856,27.05,72.95,17.83418493489369
YangCLIP,corruption_yangclip,tiny-imagenet,22,30,30000,2207,7.356666666666667,4,0.013333333333333334,0.1,99.9,0.18124150430448574,734,2.4466666666666668,18.35,81.65,33.25781603987313,548,1.8266666666666667,13.700000000000001,86.3,24.830086089714545,565,1.8833333333333333,14.124999999999998,85.875,25.60036248300861,356,1.1866666666666665,8.9,91.1,16.130493883099227
