,A,B,C,R,T,V,u_raw_base,u_raw_TV,u_norm_base,u_norm_TV
A,1.000000,0.187877,0.038567,-0.307323,0.191847,-0.467717,0.609543,0.374578,0.609534,0.374561
B,0.187877,1.000000,0.046724,-0.293733,-0.189239,0.213953,0.715287,0.695651,0.715277,0.695635
C,0.038567,0.046724,1.000000,0.051877,-0.058068,0.157353,0.493886,0.570719,0.493845,0.570703
R,-0.307323,-0.293733,0.051877,1.000000,-0.144378,0.358953,-0.339427,-0.235215,-0.339426,-0.235156
T,0.191847,-0.189239,-0.058068,-0.144378,1.000000,-0.471432,-0.028790,-0.140826,-0.028781,-0.140839
V,-0.467717,0.213953,0.157353,0.358953,-0.471432,1.000000,-0.057919,0.338919,-0.057921,0.338952
u_raw_base,0.609543,0.715287,0.493886,-0.339427,-0.028790,-0.057919,1.000000,0.886250,0.999999,0.886246
u_raw_TV,0.374578,0.695651,0.570719,-0.235215,-0.140826,0.338919,0.886250,1.000000,0.886248,0.999999
u_norm_base,0.609534,0.715277,0.493845,-0.339426,-0.028781,-0.057921,0.999999,0.886248,1.000000,0.886245
u_norm_TV,0.374561,0.695635,0.570703,-0.235156,-0.140839,0.338952,0.886246,0.999999,0.886245,1.000000
